"interface_id","reviewed_specification","other_final_versions","claimed_closest_to_production","copybook","record_builder","inbound_handler","transport","volume","retry_error_handling","copybook_vs_builder_drift"
"IF-AGGR-015","IF-AGGR-015_v1.1_FINAL_reviewed_vraghu.md","6","FINAL v7","AGIAGGRRE.cpy","claimcenter/config/gsrc/albion/integration/aggr/AggrRecordBuilder.gs","claimcenter/config/gsrc/albion/integration/aggr/AggrInboundHandler.gs","Nightly SFTP; PGP","~162k/week; renewal + catastrophe-event peak","NAK queue reviewed by Norwich desktop Excel macro; automatic x3 then manual","Builder: AG84 + RiskPostcode[12] + InceptionDate[8] + InsuredSurname as cents[11] + VehicleVRM as yyyyMMdd + brand[6], padded to 512; copybook has 12 fields."
"IF-CIFAS-007","IF-CIFAS-007_v1.8_FINAL_reviewed_nchen.md","4","FINAL v2","AGICIFARE.cpy","contactmanager/modules/configuration/gsrc/albion/integration/cifas/CifasRecordBuilder.gs","contactmanager/modules/configuration/gsrc/albion/integration/cifas/CifasInboundHandler.gs","Connect:Direct","~216k/week; renewal + catastrophe-event peak","Daily ops NAK queue; automatic infinite retry","Builder: CI87 + NINO[12] + SumInsured[10] + InceptionDate as cents[15] + InsuredSurname as yyyyMMdd + brand[6], padded to 750; copybook has 14 fields."
"IF-CREDIT-014","IF-CREDIT-014_v3.0_FINAL_reviewed_vraghu.md","2","FINAL v3","AGICREDRE.cpy","billingcenter/config/gsrc/albion/integration/credit/CreditRecordBuilder.gs","billingcenter/config/gsrc/albion/integration/credit/CreditInboundHandler.gs","MQ Series AGI.CREDIT.OUT; file-drop fallback now primary","~613k/month; renewal + catastrophe-event peak","Weekly-in-theory NAK queue; automatic x3 then manual","Builder: CR61 + RiskPostcode[15] + InceptionDate[30] + PolicyNumber as cents[15] + SumInsured as yyyyMMdd + brand[6], padded to 300; copybook has 13 fields."
"IF-CRIF-016","IF-CRIF-016_v6.4_FINAL_reviewed_pnair.md","3","FINAL v1","AGICRIFRE.cpy","policycenter/config/gsrc/albion/integration/crif/CrifRecordBuilder.gs","policycenter/config/gsrc/albion/integration/crif/CrifInboundHandler.gs","Synchronous SOAP over site-to-site VPN; 8-second timeout","~415k/week; renewal + catastrophe-event peak","Daily ops NAK queue; manual retry only","Builder: CR58 + NINO[15] + VRM[30] + AnnualPremium as cents[15] + ClaimNumber as yyyyMMdd + brand[6], padded to 750; copybook has 10 fields."
"IF-CUE-002","IF-CUE-002_v3.0_FINAL_reviewed_mokeefe.md","6","FINAL v7","AGICUERE.cpy","contactmanager/modules/configuration/gsrc/albion/integration/cue/CueRecordBuilder.gs","contactmanager/modules/configuration/gsrc/albion/integration/cue/CueInboundHandler.gs","Nightly SFTP; PGP","~126k/week; renewal + catastrophe-event peak","Daily ops NAK queue; automatic infinite retry","Builder: CU86 + ERN[12] + NINO[10] + AnnualPremium as cents[11] + SumInsured as yyyyMMdd + brand[6], padded to 400; copybook has 9 fields."
"IF-DVLA-006","IF-DVLA-006_v4.2_FINAL_reviewed_pnair.md","2","FINAL v1","AGIDVLARE.cpy","contactmanager/modules/configuration/gsrc/albion/integration/dvla/DvlaRecordBuilder.gs","contactmanager/modules/configuration/gsrc/albion/integration/dvla/DvlaInboundHandler.gs","MQ Series AGI.DVLA.OUT; file-drop fallback now primary","~335k/month; renewal + catastrophe-event peak","NAK queue reviewed when remembered; automatic infinite retry","Builder: DV29 + InceptionDate[12] + SumInsured[8] + RiskPostcode as cents[13] + ERN as yyyyMMdd + brand[6], padded to 400; copybook has 13 fields."
"IF-DWH-012","IF-DWH-012_v5.4_FINAL_reviewed_dwhitf.md","5","FINAL v7","AGIDWHRE.cpy","policycenter/config/gsrc/albion/integration/dwh/DwhRecordBuilder.gs","policycenter/config/gsrc/albion/integration/dwh/DwhInboundHandler.gs","Connect:Direct","~429k/day; renewal + catastrophe-event peak","Norwich desktop Excel-macro NAK queue; automatic infinite retry","Builder: DW21 + SumInsured[15] + PolicyNumber[10] + NINO as cents[13] + ERN as yyyyMMdd + brand[6], padded to 300; copybook has 14 fields."
"IF-ELTO-003","IF-ELTO-003_v7.7_FINAL_reviewed_kmbeki.md","2","FINAL v1","AGIELTORE.cpy","claimcenter/config/gsrc/albion/integration/elto/EltoRecordBuilder.gs","claimcenter/config/gsrc/albion/integration/elto/EltoInboundHandler.gs","Synchronous SOAP over site-to-site VPN; 8-second timeout","~525k/month; renewal + catastrophe-event peak","Norwich desktop Excel-macro NAK queue; manual retry only","Builder: EL82 + InceptionDate[15] + UPRN[8] + NINO as cents[13] + ERN as yyyyMMdd + brand[6], padded to 400; copybook has 11 fields."
"IF-FLOODRE-004","IF-FLOODRE-004_v4.5_FINAL_reviewed_svenkat.md","5","FINAL v4","AGIFLOORE.cpy","billingcenter/config/gsrc/albion/integration/floodre/FloodreRecordBuilder.gs","billingcenter/config/gsrc/albion/integration/floodre/FloodreInboundHandler.gs","MQ Series AGI.FLOODRE.OUT; file-drop fallback now primary","~140k/week; renewal + catastrophe-event peak","NAK queue reviewed when remembered; automatic infinite retry","Builder: FL61 + ClaimNumber[10] + InceptionDate[8] + SumInsured as cents[11] + NINO as yyyyMMdd + brand[6], padded to 600; copybook has 9 fields."
"IF-IPT-008","IF-IPT-008_v6.1_FINAL_reviewed_mokeefe.md","4","FINAL v1","AGIIPTRE.cpy","claimcenter/config/gsrc/albion/integration/ipt/IptRecordBuilder.gs","claimcenter/config/gsrc/albion/integration/ipt/IptInboundHandler.gs","Connect:Direct","~437k/day; renewal + catastrophe-event peak","Daily ops NAK queue; automatic x3 then manual","Builder: IP89 + ERN[20] + PolicyNumber[30] + NINO as cents[11] + VRM as yyyyMMdd + brand[6], padded to 512; copybook has 9 fields; brandMap duplicates brand_xref.csv; negative overpunch digit 9 throws StringIndexOutOfBoundsException."
